item_id,item_type,group_id,status,note,context
S00.007,sentence,,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n01,number,±1,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n02,number,33,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n03,number,3,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n04,number,9,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n05,number,11,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n06,number,2,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.007.n07,number,1,located,,"We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a ma"
S00.008,sentence,,located,,"No cell shows decimation superior beyond the margin; in the five cells whose interval lies wholly below zero, decimation leads by less than the margin, the widest such interval (3σ on FEMTO) reaching "
S00.008.n01,number,-0.45,located,,"No cell shows decimation superior beyond the margin; in the five cells whose interval lies wholly below zero, decimation leads by less than the margin, the widest such interval (3σ on FEMTO) reaching "
S00.009,sentence,,located,,"The campaigns that supply this statistical power are short-lived bearings, on which an effect of the magnitude IMS shows could not have appeared, so the cross-dataset null bounds the effect at the sca"
S00.010,sentence,,located,,"On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left ope"
S00.010.n01,number,0.20,located,,"On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left ope"
S00.010.n02,number,0.60,located,,"On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left ope"
S00.011,sentence,,located,,"The full pipeline, detectors, and result tables are released at https:// github.com/Ansh-Goyal01/Scada-Leadtime-Benchmark."
S00.012,sentence,,located,,"Keywords: bearing anomaly detection, lead-time metric, false-alarm gating, SCADA historian, prognostic horizon, statistical process control, conformal prediction"
S01.001,sentence,,located,0.94,"Condition-based maintenance (CBM) and prognostics and health management (PHM) promise to replace fixed-interval servicing with data-driven intervention, reducing both unplanned downtime and unnecessar"
S01.002,sentence,,located,0.85,"Rolling-element bearings are the most common failure mode in rotating machinery, and a large literature applies statistical control charts, classical machine learning, and deep models to detect incipi"
S01.003,sentence,,located,0.83,"The economic case is well established: a warning delivered hours or days before a catastrophic seizure lets an operator schedule an orderly shutdown, order parts, and avoid secondary damage to shafts,"
S01.004,sentence,,located,,"Despite this, most published detectors are evaluated with classification metrics—accuracy, precision/recall, and receiver operating characteristic area under the curve (ROC- AUC)."
S01.005,sentence,,located,,"These answer “was the failure detected?” but not the question a maintenance planner actually asks: “how many hours of warning did we get, and how often did the system cry wolf?"
S01.006,sentence,,located,1.00,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.
S01.006.n01,number,48,located,,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.
S01.007,sentence,,located,,"The prognostics community has long advocated time-aware metrics (Saxena et al., 2008; Saxena, Celaya, Saha, Saha, & Goebel, 2010; Goebel, Saha, & Saxena, 2011), yet lead time is rarely the headline qu"
S01.008,sentence,,located,,"In particular, any lead-time metric that does not pair warning time with a false-alarm constraint can be trivially maximized by a detector that simply alarms from the first sample—a “latch-on” exploit"
S01.009,sentence,,located-manual,signposting removed: Sec. 1 P3 opens 'A second question is practical.',"A second, eminently practical question motivates this study."
S01.010,sentence,,located,0.88,Industrial Supervisory Control and Data Acquisition (SCADA) historians rarely store raw high-rate vibration; they store decimated or time-averaged summaries at a coarse logging interval (Tautz-Weinert
S01.011,sentence,,located,,The folklore concern is that this storage step destroys fault-relevant information: that bin-averaging the summary statistics a historian retains washes out the very excursions that signal an incipien
S01.012,sentence,,located,0.62,"Whether this is actually true is an empirical question that, to our knowledge, has not been tested with a sound lead-time metric across multiple datasets."
S01.013,sentence,,located,,"The answer matters: if averaging is harmless, operators can store compact, cheap, bin-averaged streams without sacrificing warning time; if it is harmful, the implication is that prognostics-grade mon"
S01.014,sentence,,located-manual,signposting removed: Sec. 1 P4 'We answer both questions.',This paper makes both questions precise and answers them.
S01.015,sentence,,located-manual,signposting removed (arc labels): arc content folded into Sec. 1 P4,We state the arc explicitly: Problem.
S01.016,sentence,,located,,"Detectors are ranked by classification accuracy, which ignores how early a warning arrives and at what false-alarm cost; and it is unknown whether the coarse, bin-averaged logging of a SCADA historian"
S01.017,sentence,,located,,We make lead time gated by a leakage-free falsealarm rate the primary metric—warning time counts only when the pre-onset false-alarm rate is within budget—so that the degenerate latch-on detector is p
S01.018,sentence,,located,,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction a"
S01.018.n01,number,10,located,,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction a"
S01.018.n02,number,6,located,,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction a"
S01.018.n03,number,6,located,,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction a"
S01.018.n04,number,3,located,,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction a"
S01.019,sentence,,located,,The folklore is refuted on every dataset tested: historian-style aggregation does not destroy lead time.
S01.020,sentence,,located,,"On the large multi-bearing sets (XJTU-SY, FEMTO, Ferrara) the difference is negligible; on IMS the median shift is positive for most magnitude detectors but not consistent in direction across the thre"
S01.020.n01,number,3,located,,"On the large multi-bearing sets (XJTU-SY, FEMTO, Ferrara) the difference is negligible; on IMS the median shift is positive for most magnitude detectors but not consistent in direction across the thre"
S01.021,sentence,,located,,The defensible cross-dataset conclusion is bounded non-destruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so
S01.021.n01,number,±1,located,,The defensible cross-dataset conclusion is bounded non-destruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so
S01.022,sentence,,located-manual,signposting removed: contribution list kept (Contributions.),We make five contributions. 1.
S01.022.n01,number,1,located,,We make five contributions. 1.
S01.023,sentence,,located,,"A latch-on-resistant, false-alarm-gated, onset-relative lead-time metric."
S01.024,sentence,,located,,"Warning time is credited only when the false-alarm rate over a data-anchored, leakage-free pre-onset region is within a stated budget."
S01.025,sentence,,located,,"We prove— by construction and by a unit test that is part of the released code—that a constant-on (latch-on) detector is scored invalid, while a detector that fires just after the true degradation ons"
S01.026,sentence,,located,,We do not claim the metric is unconditionally ungameable; we discuss residual gaming surfaces in Section 8. 2.
S01.026.n01,number,2,located,,We do not claim the metric is unconditionally ungameable; we discuss residual gaming surfaces in Section 8. 2.
S01.027,sentence,,located,0.80,A formal proof that gating changes the answer.
S01.028,sentence,,located,,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relat"
S01.028.n01,number,10%,located,,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relat"
S01.028.n02,number,3,located,,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relat"
S01.029,sentence,,located,,"A controlled SCADA-sampling methodology that holds window content and alarm persistence constant, so that any lead-time difference between the historian’s aggregate mechanism and simple decimation ref"
S01.029.n01,number,4,located,,"A controlled SCADA-sampling methodology that holds window content and alarm persistence constant, so that any lead-time difference between the historian’s aggregate mechanism and simple decimation ref"
S01.030,sentence,,located,1.00,A multi-dataset null result.
S01.031,sentence,,located,,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the wi"
S01.031.n01,number,10,located,,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the wi"
S01.031.n02,number,6,located,,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the wi"
S01.031.n03,number,6,located,,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the wi"
S01.031.n04,number,3,located,,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the wi"
S01.032,sentence,,located,,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm corr
S01.032.n01,number,±1,located,,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm corr
S01.032.n02,number,44,located,,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm corr
S01.032.n03,number,5,located,,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm corr
S01.033,sentence,,located,,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that "
S01.033.n01,number,0.20,located,,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that "
S01.033.n02,number,0.60,located,,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that "
S01.034,sentence,,located,1.00,Scope of claims.
S01.035,sentence,,located,,"The empirical results are for rollingelement bearings under approximately steady operating conditions; we make no claim of transfer to gearboxes, blades, or variable-speed machinery."
S01.036,sentence,,located,1.00,The sampling question is specifically bin-averaged historian storage versus decimated storage.
S01.037,sentence,,located,,The metric itself is failure-mode-agnostic: it applies wherever a run-to-failure trajectory and a stationary normal region exist.
S01.038,sentence,,located,,We deliberately report a result that is not the one we set out to find.
S01.039,sentence,,located,,Our working hypothesis was that bin-averaging the stored summary series would wash out incipient-fault excursions and shorten lead time.
S01.040,sentence,,located,1.00,It does not.
S01.041,sentence,,located,,"We regard reporting the refutation, with its dataset-dependent direction made explicit, as more valuable than a tidy but unsupported positive claim."
S03.001,sentence,,located,1.00,"Reviews of machinery diagnostics and prognostics (Jardine et al., 2006; Lee et al., 2014; Lei et al., 2018) and of remaininguseful-life (RUL) estimation (Si, Wang, Hu, & Zhou, 2011) establish the CBM/"
S03.002,sentence,,located,,Saxena et al.
S03.003,sentence,,located,,"(2008), Saxena et al."
S03.004,sentence,,located,1.00,"(2010), and Goebel et al."
S03.005,sentence,,located,,"(2011) propose a family of prognostic-performance metrics (prognostic horizon, α-λ accuracy, relative accuracy, and timeliness) that explicitly reward early, well-calibrated predictions."
S03.006,sentence,,located,0.92,Our onset-relative lead time is in this spirit: it measures warning time relative to a degradation event rather than to an arbitrary positional marker.
S03.007,sentence,,located,,"We depart from prior practice in one key respect: we make the false-alarm budget an integral part of the metric’s validity condition rather than a separately reported number, which is precisely what c"
S03.008,sentence,,located-manual,"paraphrased: Sec. 2.1 P1: 'the first formal comparison showing that an ungated prognostic horizon ranks detectors differently, and misleadingly'","We further provide, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric produces a different and operationally misleading detector ranking relative to a fal"
S03.009,sentence,,located,,"The disagreement is not marginal: on IMS the detectors the prognostic horizon ranks first by raw lead (Hotelling T 2, Isolation Forest, and EWMA) each have no valid operating point at a 10% false-alar"
S03.009.n01,number,10%,located,,"The disagreement is not marginal: on IMS the detectors the prognostic horizon ranks first by raw lead (Hotelling T 2, Isolation Forest, and EWMA) each have no valid operating point at a 10% false-alar"
S03.010,sentence,,located,1.00,The cost asymmetry between a missed detection and a false alarm has been treated explicitly outside bearing prognostics.
S03.011,sentence,,located,,"The Numenta Anomaly Benchmark (Lavin & Ahmad, 2015) scores streaming detectors under an application profile that rewards early detection and penalises false positives, making the same commitment our g"
S03.012,sentence,,located,1.00,The difference is structural.
S03.013,sentence,,located,,"That benchmark folds both into a single weighted score, so a detector may trade false alarms against earliness and still rank well; our budget is a validity condition, and an alarm outside it earns no"
S03.014,sentence,,located,1.00,A parallel line of work revises evaluation itself for time-series detection.
S03.015,sentence,,located,,"Tatbul, Lee, Zdonik, Alam, and Gottschlich (2018) generalise precision and recall from points to ranges with a tunable positional bias, so that early detection within an anomalous interval can be rewa"
S03.016,sentence,,located,,"Our metric shares the diagnosis and differs in what it reports: rather than a score on a bounded scale, the gated lead time is a physical quantity— hours of warning—that a maintenance planner can act "
S04.001,sentence,,located,0.78,"Univariate and multivariate statistical-process-control charts—the 3σ rule, the exponentially weighted moving average (EWMA) (Roberts, 1959), and Hotelling’s T 2 (Hotelling, 1947)—remain workhorses of"
S04.002,sentence,,located,0.83,"In the unsupervised machinelearning family, Isolation Forest (Liu, Ting, & Zhou, 2008) and the one-class support vector machine (SVM) (Schölkopf, Platt, Shawe-Taylor, Smola, & Williamson, 2001) are wi"
S04.003,sentence,,located,,"We evaluate representatives of both the classical and learning families under a single, fixed hyperparameter protocol so that the comparison is about the evaluation and the sampling question, not abou"
S04.004,sentence,,located,1.00,Relation to published FEMTO/XJTU results.
S04.005,sentence,,located,,"The FEMTO/PRONOSTIA and XJTU-SY campaigns are best known through the IEEE PHM 2012 challenge and subsequent remaining-useful-life (RUL) studies (Wang, Lei, Li, & Li, 2020; Nectoux et al., 2012), whose"
S04.005.n01,number,2012,located,,"The FEMTO/PRONOSTIA and XJTU-SY campaigns are best known through the IEEE PHM 2012 challenge and subsequent remaining-useful-life (RUL) studies (Wang, Lei, Li, & Li, 2020; Nectoux et al., 2012), whose"
S04.006,sentence,,located,,"Those numbers are not directly comparable to ours for two structural reasons: (i) they estimate a continuous RUL on runs with no observed failure, whereas our metric measures early-warning lead time o"
S04.007,sentence,,located,,"We therefore do not tabulate their RUL scores against our lead times, which would be a category error."
S04.008,sentence,,located,,"The classic normalized-RMS health-indicator with a first-prediction-time threshold—the workhorse baseline underlying most of that literature—is represented here by our rms_trend detector, evaluated un"
S04.009,sentence,,located,1.00,The pairing of detection delay with a false-alarm constraint is the founding formulation of sequential change detection.
S04.010,sentence,,located,,"Lorden (1971) posed the minimax problem of minimising worst-case detection delay subject to a lower bound on the average run length to false alarm, and Moustakides (1986) later showed that the cumulat"
S04.011,sentence,,located,0.64,"Our gate inherits the same premise and applies it at a different stage: that theory constrains the false-alarm rate when a detector is designed, by choosing a threshold that meets a stated run-length "
S04.012,sentence,,located,1.00,The two can disagree.
S04.013,sentence,,located,,"CUSUM, whose optimality theory this is, has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3."
S04.013.n01,number,10%,located,,"CUSUM, whose optimality theory this is, has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3."
S04.013.n02,number,19.0,located,,"CUSUM, whose optimality theory this is, has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3."
S04.013.n03,number,19.8%,located,,"CUSUM, whose optimality theory this is, has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3."
S04.013.n04,number,2.3,located,,"CUSUM, whose optimality theory this is, has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3."
S04.014,sentence,,located,1.00,Uncertainty Quantification and Conformal Prediction
S05.001,sentence,,located,,"Conformal prediction (Vovk, Gammerman, & Shafer, 2005; Laxhammar & Falkman, 2014) provides a distribution-free guarantee that the false-alarm rate is bounded by a target α under exchangeability."
S05.002,sentence,,located-manual,"paraphrased: Sec. 2.3: 'converting a raw score into an alarm with an interpretable, finite-sample guarantee'","This is attractive for prognostics because it converts a detector’s raw score into an alarm with an interpretable, finite-sample false-alarm guarantee."
S05.003,sentence,,located,,"We wire conformal calibration into the lead-time pipeline and, rather than assuming the guarantee, test it empirically across runs— including a run where exchangeability provably fails because the “no"
S06.001,sentence,,located,1.00,"Bearing-defect frequencies, spectral kurtosis (Antoni, 2006), and envelope (demodulation) analysis (Randall & Antoni, 2011) are the classical frequency-domain tools for bearing diagnostics."
S06.002,sentence,,located,,"We include fast Fourier transform (FFT) band energies, spectral kurtosis, and Hilbert-envelope amplitudes at the bearing characteristic frequencies, and we ablate them against pure time-domain statist"
S07.001,sentence,,located,0.92,Tautz-Weinert and Watson (2017) review SCADA-data condition monitoring and note explicitly that historian aggregation is a recognized but under-quantified concern: practitioners suspect that coarse av
S07.002,sentence,,located-manual,"paraphrased: Sec. 2.5: 'for bearing faults, the concern is not borne out'","The present paper addresses exactly this gap, and reaches the perhaps surprising conclusion that, for bearing faults, the concern is not borne out."
S08.001,sentence,,located,,"We use four inferential run-to-failure datasets spanning controlled-lab and cross-condition regimes, together with a single-asset real-historian case study (Table 1)."
S08.002,sentence,,located,,"They were chosen so that the central sampling claim is tested under genuinely different conditions: a high-rate rawwaveform rig where aggregation can be simulated faithfully (IMS), two multi-bearing c"
S08.003,sentence,,located,0.92,"The NASA/IMS bearing dataset (Qiu, Lee, Lin, & Yu, 2006) provides raw 20.48 kHz accelerometer waveforms for three run-to-failure tests on a shaft loaded with four bearings."
S08.003.n01,number,20.48,located,,"The NASA/IMS bearing dataset (Qiu, Lee, Lin, & Yu, 2006) provides raw 20.48 kHz accelerometer waveforms for three run-to-failure tests on a shaft loaded with four bearings."
S08.004,sentence,,located,,"Because the waveforms are raw, frequency-domain features (spectral kurtosis, envelope) are meaningful; the coarsening sweep itself acts on the windowed feature vectors, not on the waveform (Section 4."
S08.005,sentence,,located,0.78,IMS test 3’s failure label is set as documented in the released repository; the justification appears in Appendix C.
S08.005.n01,number,3,located,,IMS test 3’s failure label is set as documented in the released repository; the justification appears in Appendix C.
S08.006,sentence,,located,0.92,"The XJTU-SY dataset (Wang et al., 2020) contributes ten run-to-failure bearings under two operating conditions (five bearings each) at 25.6 kHz, sampled in 1.28 s snapshots once per minute."
S08.006.n01,number,25.6,located,,"The XJTU-SY dataset (Wang et al., 2020) contributes ten run-to-failure bearings under two operating conditions (five bearings each) at 25.6 kHz, sampled in 1.28 s snapshots once per minute."
S08.006.n02,number,1.28,located,,"The XJTU-SY dataset (Wang et al., 2020) contributes ten run-to-failure bearings under two operating conditions (five bearings each) at 25.6 kHz, sampled in 1.28 s snapshots once per minute."
S08.007,sentence,,located,,"With n = 10 it provides the strongest generalization test in this study; its published lifetimes range widely (52-533 min), which deliberately stresses the metric with both long-degrading and abrupt-f"
S08.007.n01,number,10,located,,"With n = 10 it provides the strongest generalization test in this study; its published lifetimes range widely (52-533 min), which deliberately stresses the metric with both long-degrading and abrupt-f"
S08.007.n02,number,52,located,,"With n = 10 it provides the strongest generalization test in this study; its published lifetimes range widely (52-533 min), which deliberately stresses the metric with both long-degrading and abrupt-f"
S08.007.n03,number,533,located,,"With n = 10 it provides the strongest generalization test in this study; its published lifetimes range widely (52-533 min), which deliberately stresses the metric with both long-degrading and abrupt-f"
S08.008,sentence,,located,,"The FEMTO/PRONOSTIA platform (Nectoux et al., 2012) contributes an independent run-tofailure campaign: six Learning_set bearings under three operating conditions, with horizontal and vertical accelero"
S08.008.n01,number,0.1,located,,"The FEMTO/PRONOSTIA platform (Nectoux et al., 2012) contributes an independent run-tofailure campaign: six Learning_set bearings under three operating conditions, with horizontal and vertical accelero"
S08.008.n02,number,25.6,located,,"The FEMTO/PRONOSTIA platform (Nectoux et al., 2012) contributes an independent run-tofailure campaign: six Learning_set bearings under three operating conditions, with horizontal and vertical accelero"
S08.008.n03,number,10,located,,"The FEMTO/PRONOSTIA platform (Nectoux et al., 2012) contributes an independent run-tofailure campaign: six Learning_set bearings under three operating conditions, with horizontal and vertical accelero"
S08.009,sentence,,located,,"We use only the six Learning_set bearings because they are run until the platform’s 20 g vibration stop—a failure, and hence a lead time, is actually observed—whereas the Test_set/Validation_set copie"
S08.009.n01,number,20,located,,"We use only the six Learning_set bearings because they are run until the platform’s 20 g vibration stop—a failure, and hence a lead time, is actually observed—whereas the Test_set/Validation_set copie"
S08.009.n02,number,2012,located,,"We use only the six Learning_set bearings because they are run until the platform’s 20 g vibration stop—a failure, and hence a lead time, is actually observed—whereas the Test_set/Validation_set copie"
S08.010,sentence,,located,,Lifetimes span ∼1.4-7.8 h.
S08.010.n01,number,1.4,located,,Lifetimes span ∼1.4-7.8 h.
S08.010.n02,number,7.8,located,,Lifetimes span ∼1.4-7.8 h.
S08.011,sentence,,located,,"We deliberately exclude the Paderborn dataset (Lessmeier, Kimotho, Zimmer, & Sextro, 2016) from the lead-time study: it comprises pre-damaged bearings measured at fixed operating conditions for fault "
S08.012,sentence,,located,,"Using it for the headline would be a category error, and we say so rather than pad the dataset count."
S08.013,sentence,,located,1.00,University of Ferrara.
S08.014,sentence,,located,,"The University of Ferrara dataset (Arpa, Gabrielli, & Battarra, 2024) contributes a fully independent run-to-failure campaign: six self-aligning double-row ball bearings under constant speed and radia"
S08.014.n01,number,25.6,located,,"The University of Ferrara dataset (Arpa, Gabrielli, & Battarra, 2024) contributes a fully independent run-to-failure campaign: six self-aligning double-row ball bearings under constant speed and radia"
S08.015,sentence,,located,,"Lifetimes span 0.7-6.8 h, similar to FEMTO."
S08.015.n01,number,0.7,located,,"Lifetimes span 0.7-6.8 h, similar to FEMTO."
S08.015.n02,number,6.8,located,,"Lifetimes span 0.7-6.8 h, similar to FEMTO."
S08.016,sentence,,located,,"Operating conditions are fixed, making the dataset directly compatible with our onset detector without normalization; we use all six available runs (E1-E6)."
S08.017,sentence,,located,,The single accelerometer channel is duplicated into the two channel slots so the channel-invariant feature schema applies unchanged.
S08.018,sentence,,located,,"The dataset is included to further test the non-destruction hypothesis with an independent 2024 rig; like FEMTO and XJTU-SY, its short bearing lifetimes mean this campaign cannot confirm or deny the I"
S08.018.n01,number,2024,located,,"The dataset is included to further test the non-destruction hypothesis with an independent 2024 rig; like FEMTO and XJTU-SY, its short bearing lifetimes mean this campaign cannot confirm or deny the I"
S08.019,sentence,,located,,"XJTU-SY (n = 10) is our primary inferential dataset; IMS (n = 3) is retained for its raw-waveform access, which permits the faithful aggregate/decimate simulation and the mechanism analysis (Appendix "
S08.019.n01,number,10,located,,"XJTU-SY (n = 10) is our primary inferential dataset; IMS (n = 3) is retained for its raw-waveform access, which permits the faithful aggregate/decimate simulation and the mechanism analysis (Appendix "
S08.019.n02,number,3,located,,"XJTU-SY (n = 10) is our primary inferential dataset; IMS (n = 3) is retained for its raw-waveform access, which permits the faithful aggregate/decimate simulation and the mechanism analysis (Appendix "
S10.001,sentence,,located,0.80,For each run we observe a sequence of snapshots indexed by time t.
S10.002,sentence,,located,0.88,A feature extractor maps each snapshot (and a short trailing window) to a vector xt ∈ Rd.
S10.003,sentence,,located,,"A detector assigns a score st and, via a threshold and a persistence filter, an alarm indicator at ∈ {0, 1}."
S10.003.n01,number,0,located,,"A detector assigns a score st and, via a threshold and a persistence filter, an alarm indicator at ∈ {0, 1}."
S10.003.n02,number,1,located,,"A detector assigns a score st and, via a threshold and a persistence filter, an alarm indicator at ∈ {0, 1}."
S10.004,sentence,,located,0.88,Each run has a failure time tf and is split at a train boundary tb; all scaling and threshold statistics are fit on {t ≤ tb} only.
S10.005,sentence,,located,0.85,The two quantities we care about are the lead time (how long before tf the first sustained alarm fires) and the pre-onset false-alarm rate (how often the detector alarms while the machine is still hea
S10.006,sentence,,located-manual,signposting removed: -,The remainder of this section makes each ingredient precise.
S11.001,sentence,,located,0.95,"Each snapshot yields per-channel time-domain statistics— RMS, kurtosis, skewness, peak-to-peak, crest factor, and variance—and, for raw-waveform datasets, frequencydomain features: FFT band energies, "
S11.002,sentence,,located,,A naive feature scheme that concatenates per-channel statistics and all cross-channel pairs is channel-count dependent and ill-posed: it produces 445 features for a 4-channel run and 1465 for an 8-cha
