item_id,item_type,group_id,value,section,location_kind,location,context,claim_ids,protected
S00.006.n01,number,15.1,+15.1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family (smallest adjusted p = 1.00).",,
S00.006.n02,number,44,44,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family (smallest adjusted p = 1.00).",,
S00.006.n03,number,1.00,1.00,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family (smallest adjusted p = 1.00).",,
S00.007,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",C014;C045;C046;C047,
S00.007.n01,number,±1,±1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n02,number,33,33,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n03,number,3,3,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n04,number,9,9,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n05,number,11,11,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n06,number,2,2,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.007.n07,number,1,1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We state the crossdataset conclusion as a bounded equivalence rather than an accepted null: against a pre-specified ±1 h operational margin—the resolution at which the result is actionable, since a maintenance planner cannot act on sub-hour differences in warning time—the run-level aggregate-minus-decimate difference is equivalent to zero in all 33 dataset × detector cells on the three multi-bearing campaigns, while on IMS the intervals are too wide at n = 3 to decide in 9 of 11 cells and favour aggregation beyond the margin in the other 2, and the single-asset gas-turbine record of the Oil and Natural Gas Corporation (ONGC, n = 1) cannot be tested.",,
S00.008,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","No cell shows decimation superior beyond the margin; in the five cells whose interval lies wholly below zero, decimation leads by less than the margin, the widest such interval (3σ on FEMTO) reaching only -0.45 h.",C048;C049,
S00.008.n01,number,-0.45,-0.45,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","No cell shows decimation superior beyond the margin; in the five cells whose interval lies wholly below zero, decimation leads by less than the margin, the widest such interval (3σ on FEMTO) reaching only -0.45 h.",,
S00.009,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","The campaigns that supply this statistical power are short-lived bearings, on which an effect of the magnitude IMS shows could not have appeared, so the cross-dataset null bounds the effect at the scale of minutes rather than hours.",C019;C050;C130,
S00.010,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left open.",C019;C051;C052,
S00.010.n01,number,0.20,0.20,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left open.",,
S00.010.n02,number,0.60,0.60,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On the short-lived bearings tested, deep reconstruction models do not overtake the control charts at any training fraction in [0.20, 0.60]; whether a crossover exists on long-runway assets is left open.",,
S00.011,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","The full pipeline, detectors, and result tables are released at https:// github.com/Ansh-Goyal01/Scada-Leadtime-Benchmark.",C054,
S00.012,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Keywords: bearing anomaly detection, lead-time metric, false-alarm gating, SCADA historian, prognostic horizon, statistical process control, conformal prediction",C056,
S01.001,sentence,,,Introduction,body,Introduction,"Condition-based maintenance (CBM) and prognostics and health management (PHM) promise to replace fixed-interval servicing with data-driven intervention, reducing both unplanned downtime and unnecessary maintenance (Jardine, Lin, & Banjevic, 2006; Lee et al., 2014; Lei et al., 2018).",,
S01.002,sentence,,,Introduction,body,Introduction,"Rolling-element bearings are the most common failure mode in rotating machinery, and a large literature applies statistical control charts, classical machine learning, and deep models to detect incipient bearing faults from vibration (Randall & Antoni, 2011; Zhao et al., 2019).",,
S01.003,sentence,,,Introduction,body,Introduction,"The economic case is well established: a warning delivered hours or days before a catastrophic seizure lets an operator schedule an orderly shutdown, order parts, and avoid secondary damage to shafts, housings, and couplings.",,
S01.004,sentence,,,Introduction,body,Introduction,"Despite this, most published detectors are evaluated with classification metrics—accuracy, precision/recall, and receiver operating characteristic area under the curve (ROC- AUC).",C001,
S01.005,sentence,,,Introduction,body,Introduction,"These answer “was the failure detected?” but not the question a maintenance planner actually asks: “how many hours of warning did we get, and how often did the system cry wolf?",C001,
S01.006,sentence,,,Introduction,body,Introduction,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.,,
S01.006.n01,number,48,48,Introduction,body,Introduction,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.,,
S01.007,sentence,,,Introduction,body,Introduction,"The prognostics community has long advocated time-aware metrics (Saxena et al., 2008; Saxena, Celaya, Saha, Saha, & Goebel, 2010; Goebel, Saha, & Saxena, 2011), yet lead time is rarely the headline quantity in detector benchmarks, and ad hoc lead-time definitions are easy to game.",C056,
S01.008,sentence,,,Introduction,body,Introduction,"In particular, any lead-time metric that does not pair warning time with a false-alarm constraint can be trivially maximized by a detector that simply alarms from the first sample—a “latch-on” exploit that earns the full run length as lead time while being operationally useless.",C004,
S01.009,sentence,,,Introduction,body,Introduction,"A second, eminently practical question motivates this study.",,
S01.010,sentence,,,Introduction,body,Introduction,"Industrial Supervisory Control and Data Acquisition (SCADA) historians rarely store raw high-rate vibration; they store decimated or time-averaged summaries at a coarse logging interval (Tautz-Weinert & Watson, 2017)—seconds to minutes, rather than the tens of kilohertz at which accelerometers are sampled.",,
S01.011,sentence,,,Introduction,body,Introduction,"The folklore concern is that this storage step destroys fault-relevant information: that bin-averaging the summary statistics a historian retains washes out the very excursions that signal an incipient spall, so that the act of long-term storage would blind any prognostic algorithm that consumes the historian.",C007,
S01.012,sentence,,,Introduction,body,Introduction,"Whether this is actually true is an empirical question that, to our knowledge, has not been tested with a sound lead-time metric across multiple datasets.",,
S01.013,sentence,,,Introduction,body,Introduction,"The answer matters: if averaging is harmless, operators can store compact, cheap, bin-averaged streams without sacrificing warning time; if it is harmful, the implication is that prognostics-grade monitoring requires separate high-rate acquisition.",C008,
S01.014,sentence,,,Introduction,body,Introduction,This paper makes both questions precise and answers them.,,
S01.015,sentence,,,Introduction,body,Introduction,We state the arc explicitly: Problem.,,
S01.016,sentence,,,Introduction,body,Introduction,"Detectors are ranked by classification accuracy, which ignores how early a warning arrives and at what false-alarm cost; and it is unknown whether the coarse, bin-averaged logging of a SCADA historian destroys that warning time relative to plain decimation.",C001,
S01.017,sentence,,,Introduction,body,Introduction,We make lead time gated by a leakage-free falsealarm rate the primary metric—warning time counts only when the pre-onset false-alarm rate is within budget—so that the degenerate latch-on detector is provably scored invalid rather than winning.,C002;C003;C004;C023,
S01.018,sentence,,,Introduction,body,Introduction,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders, and an RMS-trend baseline; Deep SVDD, a deep support vector data description model, additionally evaluated) across four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), plus a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2)—with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",C012;C013;C014;C033;C035;C039,
S01.018.n01,number,10,10,Introduction,body,Introduction,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders, and an RMS-trend baseline; Deep SVDD, a deep support vector data description model, additionally evaluated) across four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), plus a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2)—with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.018.n02,number,6,6,Introduction,body,Introduction,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders, and an RMS-trend baseline; Deep SVDD, a deep support vector data description model, additionally evaluated) across four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), plus a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2)—with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.018.n03,number,6,6,Introduction,body,Introduction,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders, and an RMS-trend baseline; Deep SVDD, a deep support vector data description model, additionally evaluated) across four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), plus a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2)—with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.018.n04,number,3,3,Introduction,body,Introduction,"Under this metric we run a controlled sampling sweep that holds window content and alarm persistence constant, applied to nine detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders, and an RMS-trend baseline; Deep SVDD, a deep support vector data description model, additionally evaluated) across four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), plus a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2)—with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.019,sentence,,,Introduction,body,Introduction,The folklore is refuted on every dataset tested: historian-style aggregation does not destroy lead time.,C007;C009;C053,
S01.020,sentence,,,Introduction,body,Introduction,"On the large multi-bearing sets (XJTU-SY, FEMTO, Ferrara) the difference is negligible; on IMS the median shift is positive for most magnitude detectors but not consistent in direction across the three runs (not significant at n = 3); the single-asset turbine record agrees (case study, Appendix D.2).",C014;C042,
S01.020.n01,number,3,3,Introduction,body,Introduction,"On the large multi-bearing sets (XJTU-SY, FEMTO, Ferrara) the difference is negligible; on IMS the median shift is positive for most magnitude detectors but not consistent in direction across the three runs (not significant at n = 3); the single-asset turbine record agrees (case study, Appendix D.2).",,
S01.021,sentence,,,Introduction,body,Introduction,The defensible cross-dataset conclusion is bounded non-destruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4).,C048;C053,
S01.021.n01,number,±1,±1,Introduction,body,Introduction,The defensible cross-dataset conclusion is bounded non-destruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4).,,
S01.022,sentence,,,Introduction,body,Introduction,We make five contributions. 1.,,
S01.022.n01,number,1,1,Introduction,body,Introduction,We make five contributions. 1.,,
S01.023,sentence,,,Introduction,body,Introduction,"A latch-on-resistant, false-alarm-gated, onset-relative lead-time metric.",C003;C004,
S01.024,sentence,,,Introduction,body,Introduction,"Warning time is credited only when the false-alarm rate over a data-anchored, leakage-free pre-onset region is within a stated budget.",C003;C023,
S01.025,sentence,,,Introduction,body,Introduction,"We prove— by construction and by a unit test that is part of the released code—that a constant-on (latch-on) detector is scored invalid, while a detector that fires just after the true degradation onset scores valid at zero false-alarm rate.",C004;C005,
S01.026,sentence,,,Introduction,body,Introduction,We do not claim the metric is unconditionally ungameable; we discuss residual gaming surfaces in Section 8. 2.,C006,
S01.026.n01,number,2,2,Introduction,body,Introduction,We do not claim the metric is unconditionally ungameable; we discuss residual gaming surfaces in Section 8. 2.,,
S01.027,sentence,,,Introduction,body,Introduction,A formal proof that gating changes the answer.,,
S01.028,sentence,,,Introduction,body,Introduction,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relative to the false-alarm-budgeted metric (Section 6.11, Table 15): on IMS the detectors PH ranks first by raw lead (Hotelling T 2, Isolation Forest, and the exponentially weighted moving average (EWMA) chart) each have no valid operating point at a 10% false-alarm budget, whereas our metric identifies 3σ as the deployable choice. 3.",C056;C062,
S01.028.n01,number,10%,10%,Introduction,body,Introduction,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relative to the false-alarm-budgeted metric (Section 6.11, Table 15): on IMS the detectors PH ranks first by raw lead (Hotelling T 2, Isolation Forest, and the exponentially weighted moving average (EWMA) chart) each have no valid operating point at a 10% false-alarm budget, whereas our metric identifies 3σ as the deployable choice. 3.",,
S01.028.n02,number,3,3,Introduction,body,Introduction,"We give, to our knowledge, the first formal comparison showing that an ungated prognostic-horizon metric (the Saxena PH) produces a different and operationally misleading detector recommendation relative to the false-alarm-budgeted metric (Section 6.11, Table 15): on IMS the detectors PH ranks first by raw lead (Hotelling T 2, Isolation Forest, and the exponentially weighted moving average (EWMA) chart) each have no valid operating point at a 10% false-alarm budget, whereas our metric identifies 3σ as the deployable choice. 3.",,
S01.029,sentence,,,Introduction,body,Introduction,"A controlled SCADA-sampling methodology that holds window content and alarm persistence constant, so that any lead-time difference between the historian’s aggregate mechanism and simple decimation reflects genuine information loss rather than a window-counting artifact of coarser time grids. 4.",C033,
S01.029.n01,number,4,4,Introduction,body,Introduction,"A controlled SCADA-sampling methodology that holds window content and alarm persistence constant, so that any lead-time difference between the historian’s aggregate mechanism and simple decimation reflects genuine information loss rather than a window-counting artifact of coarser time grids. 4.",,
S01.030,sentence,,,Introduction,body,Introduction,A multi-dataset null result.,,
S01.031,sentence,,,Introduction,body,Introduction,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the within-run sampling factor, as the unit of inference, SCADA-rate aggregation does not destroy lead time, and on IMS shows a positive median shift for most control charts though not consistently across runs.",C007;C013;C035;C041;C042;C053,
S01.031.n01,number,10,10,Introduction,body,Introduction,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the within-run sampling factor, as the unit of inference, SCADA-rate aggregation does not destroy lead time, and on IMS shows a positive median shift for most control charts though not consistently across runs.",,
S01.031.n02,number,6,6,Introduction,body,Introduction,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the within-run sampling factor, as the unit of inference, SCADA-rate aggregation does not destroy lead time, and on IMS shows a positive median shift for most control charts though not consistently across runs.",,
S01.031.n03,number,6,6,Introduction,body,Introduction,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the within-run sampling factor, as the unit of inference, SCADA-rate aggregation does not destroy lead time, and on IMS shows a positive median shift for most control charts though not consistently across runs.",,
S01.031.n04,number,3,3,Introduction,body,Introduction,"Across XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3), with bootstrap confidence intervals and run-level significance tests treating the run, not the within-run sampling factor, as the unit of inference, SCADA-rate aggregation does not destroy lead time, and on IMS shows a positive median shift for most control charts though not consistently across runs.",,
S01.032,sentence,,,Introduction,body,Introduction,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm correction across the N = 44 family. 5.,C039;C043;C048,
S01.032.n01,number,±1,±1,Introduction,body,Introduction,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm correction across the N = 44 family. 5.,,
S01.032.n02,number,44,44,Introduction,body,Introduction,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm correction across the N = 44 family. 5.,,
S01.032.n03,number,5,5,Introduction,body,Introduction,No dataset × detector cell shows decimation superior beyond a ±1 h operational margin (the cells that favour decimation at all do so by less than that margin) (Section 6.4); nothing survives Holm correction across the N = 44 family. 5.,,
S01.033,sentence,,,Introduction,body,Introduction,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS, and a characterization of deep reconstruction models (an LSTM autoencoder, a temporal convolutional network autoencoder (TCN-AE), and a transformer anomaly detector) showing they do not become competitive with SPC charts within the tested training-fraction range [0.20, 0.60] on short-lived bearings; whether a crossover exists on long-runway assets remains open (Section 6.12).",C019;C032;C051;C052,
S01.033.n01,number,0.20,0.20,Introduction,body,Introduction,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS, and a characterization of deep reconstruction models (an LSTM autoencoder, a temporal convolutional network autoencoder (TCN-AE), and a transformer anomaly detector) showing they do not become competitive with SPC charts within the tested training-fraction range [0.20, 0.60] on short-lived bearings; whether a crossover exists on long-runway assets remains open (Section 6.12).",,
S01.033.n02,number,0.60,0.60,Introduction,body,Introduction,"Validation: wiring and empirical validation of a conformal detector for distribution-free false-alarm control, a lead-time-vs-false-alarm trade-off analysis, feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS, and a characterization of deep reconstruction models (an LSTM autoencoder, a temporal convolutional network autoencoder (TCN-AE), and a transformer anomaly detector) showing they do not become competitive with SPC charts within the tested training-fraction range [0.20, 0.60] on short-lived bearings; whether a crossover exists on long-runway assets remains open (Section 6.12).",,
S01.034,sentence,,,Introduction,body,Introduction,Scope of claims.,,
S01.035,sentence,,,Introduction,body,Introduction,"The empirical results are for rollingelement bearings under approximately steady operating conditions; we make no claim of transfer to gearboxes, blades, or variable-speed machinery.",C010,
S01.036,sentence,,,Introduction,body,Introduction,The sampling question is specifically bin-averaged historian storage versus decimated storage.,,
S01.037,sentence,,,Introduction,body,Introduction,The metric itself is failure-mode-agnostic: it applies wherever a run-to-failure trajectory and a stationary normal region exist.,C010;C086,
S01.038,sentence,,,Introduction,body,Introduction,We deliberately report a result that is not the one we set out to find.,C009,
S01.039,sentence,,,Introduction,body,Introduction,Our working hypothesis was that bin-averaging the stored summary series would wash out incipient-fault excursions and shorten lead time.,C009;C034,
S01.040,sentence,,,Introduction,body,Introduction,It does not.,,
S01.041,sentence,,,Introduction,body,Introduction,"We regard reporting the refutation, with its dataset-dependent direction made explicit, as more valuable than a tidy but unsupported positive claim.",C009,
S03.001,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","Reviews of machinery diagnostics and prognostics (Jardine et al., 2006; Lee et al., 2014; Lei et al., 2018) and of remaininguseful-life (RUL) estimation (Si, Wang, Hu, & Zhou, 2011) establish the CBM/PHM framing in which a health indicator is tracked and an alarm or RUL estimate is produced.",,
S03.002,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",Saxena et al.,C056,
S03.003,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","(2008), Saxena et al.",C056,
S03.004,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","(2010), and Goebel et al.",,
