item_id,item_type,group_id,value,section,location_kind,location,context,claim_ids,protected
S01.014.n02,number,6,6,Introduction,body,Introduction,"Under it we run a controlled sampling sweep that holds window content and alarm persistence constant, over nine headline detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders and an RMS-trend baseline) plus two additionally evaluated one-class models, Deep SVDD (deep support vector data description) and a one-class support vector machine (SVM), on four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3)— and a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2), with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.014.n03,number,6,6,Introduction,body,Introduction,"Under it we run a controlled sampling sweep that holds window content and alarm persistence constant, over nine headline detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders and an RMS-trend baseline) plus two additionally evaluated one-class models, Deep SVDD (deep support vector data description) and a one-class support vector machine (SVM), on four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3)— and a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2), with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.014.n04,number,3,3,Introduction,body,Introduction,"Under it we run a controlled sampling sweep that holds window content and alarm persistence constant, over nine headline detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders and an RMS-trend baseline) plus two additionally evaluated one-class models, Deep SVDD (deep support vector data description) and a one-class support vector machine (SVM), on four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3)— and a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2), with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
S01.015,sentence,,,Introduction,body,Introduction,The folklore is refuted on every dataset tested: historian-style aggregation does not destroy lead time.,C007;C009;C053,
S01.016,sentence,,,Introduction,body,Introduction,"The difference is negligible on the multi-bearing sets, positive but inconsistent in direction on IMS, and consistent with non-destruction on the turbine record.",C042;C053,
S01.017,sentence,,,Introduction,body,Introduction,"The defensible conclusion is bounded nondestruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin, the resolution at which a planner can act (Section 6.4).",C047;C048,
S01.017.n01,number,±1,±1,Introduction,body,Introduction,"The defensible conclusion is bounded nondestruction: no dataset × detector cell shows decimation superior beyond a ±1 h operational margin, the resolution at which a planner can act (Section 6.4).",,
S01.018,sentence,,,Introduction,body,Introduction,"A latch-on-resistant, false-alarm-gated, onset-relative lead-time metric, crediting warning time only when the false-alarm rate over a data-anchored, leakage-free pre-onset region is within a stated budget.",C003;C004;C023,
S01.019,sentence,,,Introduction,body,Introduction,"A constant-on detector is provably invalid and one firing just after the true onset is valid at zero false-alarm rate, by construction and by a released unit test.",C004;C005,
S01.020,sentence,,,Introduction,body,Introduction,We do not claim the metric is unconditionally ungameable (Section 8). 2.,C006,
S01.020.n01,number,2,2,Introduction,body,Introduction,We do not claim the metric is unconditionally ungameable (Section 8). 2.,,
S01.021,sentence,,,Introduction,body,Introduction,"A formal comparison showing that gating changes the answer, to our knowledge the first: the ungated Saxena prognostic horizon (PH) makes a different and operationally misleading recommendation (Section 6.11).",C056,
S01.022,sentence,,,Introduction,body,Introduction,"On IMS the seven detectors PH ranks highest—the deep models, the one-class SVM, Hotelling T 2, Isolation Forest and the exponentially weighted moving average (EWMA) chart—have no valid operating point at a 10% budget; the gated metric picks 3σ, PH’s eighth. 3.",C056;C084,
S01.022.n01,number,10%,10%,Introduction,body,Introduction,"On IMS the seven detectors PH ranks highest—the deep models, the one-class SVM, Hotelling T 2, Isolation Forest and the exponentially weighted moving average (EWMA) chart—have no valid operating point at a 10% budget; the gated metric picks 3σ, PH’s eighth. 3.",,
S01.022.n02,number,3,3,Introduction,body,Introduction,"On IMS the seven detectors PH ranks highest—the deep models, the one-class SVM, Hotelling T 2, Isolation Forest and the exponentially weighted moving average (EWMA) chart—have no valid operating point at a 10% budget; the gated metric picks 3σ, PH’s eighth. 3.",,
S01.023,sentence,,,Introduction,body,Introduction,"A controlled SCADA-sampling methodology holding window content and alarm persistence constant, so an aggregate-vs-decimate difference reflects information loss rather than a window-counting artifact of coarser time grids. 4.",C033,
S01.023.n01,number,4,4,Introduction,body,Introduction,"A controlled SCADA-sampling methodology holding window content and alarm persistence constant, so an aggregate-vs-decimate difference reflects information loss rather than a window-counting artifact of coarser time grids. 4.",,
S01.024,sentence,,,Introduction,body,Introduction,"A multi-dataset null result: with bootstrap confidence intervals and run-level tests, SCADA-rate aggregation does not destroy lead time on any of the four inferential datasets, and nothing survives Holm correction across the N = 44 family. 5.",C007;C013;C039;C043;C053,
S01.024.n01,number,44,44,Introduction,body,Introduction,"A multi-dataset null result: with bootstrap confidence intervals and run-level tests, SCADA-rate aggregation does not destroy lead time on any of the four inferential datasets, and nothing survives Holm correction across the N = 44 family. 5.",,
S01.024.n02,number,5,5,Introduction,body,Introduction,"A multi-dataset null result: with bootstrap confidence intervals and run-level tests, SCADA-rate aggregation does not destroy lead time on any of the four inferential datasets, and nothing survives Holm correction across the N = 44 family. 5.",,
S01.025,sentence,,,Introduction,body,Introduction,"Validation of a conformal detector for distribution-free false-alarm control; a lead-time-vs-false-alarm trade-off analysis; feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS; and deep reconstruction models (a long short-term memory (LSTM) autoencoder, a temporal convolutional network autoencoder (TCN-AE) and a transformer anomaly detector) that do not become competitive with SPC charts at training fractions in [0.20, 0.60] on short-lived bearings, a crossover on long-runway assets remaining open (Section 6.12).",C019;C032;C051,
S01.025.n01,number,0.20,0.20,Introduction,body,Introduction,"Validation of a conformal detector for distribution-free false-alarm control; a lead-time-vs-false-alarm trade-off analysis; feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS; and deep reconstruction models (a long short-term memory (LSTM) autoencoder, a temporal convolutional network autoencoder (TCN-AE) and a transformer anomaly detector) that do not become competitive with SPC charts at training fractions in [0.20, 0.60] on short-lived bearings, a crossover on long-runway assets remaining open (Section 6.12).",,
S01.025.n02,number,0.60,0.60,Introduction,body,Introduction,"Validation of a conformal detector for distribution-free false-alarm control; a lead-time-vs-false-alarm trade-off analysis; feature-group and spectral ablations that localize the prognostic signal to time-domain statistics on IMS; and deep reconstruction models (a long short-term memory (LSTM) autoencoder, a temporal convolutional network autoencoder (TCN-AE) and a transformer anomaly detector) that do not become competitive with SPC charts at training fractions in [0.20, 0.60] on short-lived bearings, a crossover on long-runway assets remaining open (Section 6.12).",,
S01.026,sentence,,,Introduction,body,Introduction,Scope of claims.,,
S01.027,sentence,,,Introduction,body,Introduction,"The results are for rolling-element bearings under approximately steady operating conditions; we make no claim of transfer to gearboxes, blades or variablespeed machinery, and the sampling question is specifically bin-averaged versus decimated historian storage.",C010,
S01.028,sentence,,,Introduction,body,Introduction,The metric itself is failure-mode-agnostic: it applies wherever a run-tofailure trajectory and a stationary normal region exist.,C010;C086,
S01.029,sentence,,,Introduction,body,Introduction,Our working hypothesis was that bin-averaging the stored summary series would wash out incipient-fault excursions and shorten lead time.,C009;C034,
S01.030,sentence,,,Introduction,body,Introduction,"It does not, and we report the refutation, with its dataset-dependent direction explicit, as more valuable than a tidy but unsupported positive claim.",C009,
S03.001,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","Reviews of machinery diagnostics and prognostics (Jardine et al., 2006; Lee et al., 2014; Lei et al., 2018) and of remaininguseful-life (RUL) estimation (Si, Wang, Hu, & Zhou, 2011) establish the CBM/PHM framing in which a health indicator is tracked and an alarm or RUL estimate is produced.",,
S03.002,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",Saxena et al.,C056,
S03.003,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","(2008), Saxena et al.",C056,
S03.004,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",(2010) and Goebel et al.,,
S03.005,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","(2011) propose prognostic-performance metrics (prognostic horizon, α-λ accuracy, relative accuracy and timeliness) that reward early, well-calibrated predictions.",C056,
S03.006,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","Our onset-relative lead time is in this spirit: it measures warning time relative to a degradation event, not an arbitrary positional marker.",,
S03.007,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","We depart from prior practice by making the false-alarm budget part of the metric’s validity condition rather than a separately reported number, which closes the latch-on loophole, and we give what is to our knowledge the first formal comparison showing that an ungated prognostic horizon ranks detectors differently, and misleadingly, from a false-alarmbudgeted metric (Section 6.11).",C003;C004;C056,
S03.008,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",The cost asymmetry between a missed detection and a false alarm has been treated explicitly outside bearing prognostics.,,
S03.009,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","The Numenta Anomaly Benchmark (Lavin & Ahmad, 2015) scores streaming detectors under an application profile that rewards early detection and penalises false positives, making our gate’s commitment in another domain: earliness cannot be assessed independently of nuisance-alarm behaviour.",C055,
S03.010,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",The difference is structural.,,
S03.011,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","That benchmark folds both into one weighted score, so a detector may trade false alarms against earliness and still rank well; our budget is a validity condition, and an alarm outside it earns no credit that a longer lead can offset.",C003,
S03.012,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics",A parallel line of work revises evaluation itself for time-series detection.,,
S03.013,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","Tatbul, Lee, Zdonik, Alam, and Gottschlich (2018) generalise precision and recall from points to ranges with a tunable positional bias, so early detection within an anomalous interval can be rewarded, and Wu and Keogh (2023) argue that widely used benchmarks admit trivial solutions and overstate progress.",C055,
S03.014,sentence,,,"Prognostics, CBM, and Lead-Time Metrics",body,"Prognostics, CBM, and Lead-Time Metrics","Our metric shares the diagnosis but reports a physical quantity—hours of warning—that a planner can act on, rather than a score on a bounded scale, and the false-alarm constraint gates validity rather than weighting the score.",,
S04.001,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"Univariate and multivariate statistical-process-control charts—the 3σ rule, the exponentially weighted moving average (EWMA) (Roberts, 1959) and Hotelling’s T 2 (Hotelling, 1947)—remain workhorses of industrial monitoring (Montgomery, 2009) because they are interpretable and need little training data.",,
S04.002,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"Isolation Forest (Liu, Ting, & Zhou, 2008) and the one-class SVM (Schölkopf, Platt, ShaweTaylor, Smola, & Williamson, 2001) are widely deployed unsupervised learners; LSTM autoencoders (Hochreiter & Schmidhuber, 1997; Malhotra et al., 2016; Hundman, Constantinou, Laporte, Colwell, & Soderstrom, 2018) and Deep SVDD (Ruff et al., 2018) have been applied to machine-health monitoring (Zhao et al., 2019).",,
S04.003,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"We evaluate both families under one fixed hyperparameter protocol, so the comparison is about evaluation and sampling, not tuning.",C031,
S04.004,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,Relation to published FEMTO/XJTU results.,,
S04.005,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The IEEE PHM 2012 challenge and later remaining-useful-life (RUL) studies on FEMTO/PRONOSTIA and XJTU-SY (Wang, Lei, Li, & Li, 2020; Nectoux et al., 2012) report a RUL-error score on deliberately truncated Test and Validation copies.",C017;C058,
S04.005.n01,number,2012,2012,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The IEEE PHM 2012 challenge and later remaining-useful-life (RUL) studies on FEMTO/PRONOSTIA and XJTU-SY (Wang, Lei, Li, & Li, 2020; Nectoux et al., 2012) report a RUL-error score on deliberately truncated Test and Validation copies.",,
S04.006,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"It is not comparable to ours: they estimate a continuous RUL on runs with no observed failure and report no false-alarm rate, so their scores say nothing about whether an alarm would survive our τ gate, whereas we measure early-warning lead time on complete run-to-failure trajectories; tabulating one against the other would be a category error.",C058,
S04.007,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The classic normalized-RMS health indicator with a first-prediction-time threshold, the baseline underlying most of that literature, is our rms_trend detector; re-evaluating specific published architectures under the gated metric (which requires their original code) is future work.",C084;C122,
S04.008,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,The pairing of detection delay with a false-alarm constraint is the founding formulation of sequential change detection.,,
S04.009,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"Lorden (1971) posed the minimax problem of minimising worst-case detection delay subject to a lower bound on the average run length to false alarm, Moustakides (1986) showed that the cumulative sum (CUSUM) chart of Page (1954) is exactly optimal under that criterion, and Pollak (1985) gives the corresponding result for a revised delay measure.",C055,
S04.010,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"Our gate inherits the premise but applies it when a detector is scored, against a rate measured on the data, rather than when it is designed by choosing a threshold that meets a run-length bound.",,
S04.011,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The two can disagree: CUSUM has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3.",C057,
S04.011.n01,number,10%,10%,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The two can disagree: CUSUM has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3.",,
S04.011.n02,number,19.0,19.0,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The two can disagree: CUSUM has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3.",,
S04.011.n03,number,19.8%,19.8%,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The two can disagree: CUSUM has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3.",,
S04.011.n04,number,2.3,2.3,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,"The two can disagree: CUSUM has no valid operating point on IMS at a 10% budget, because its pre-onset false-alarm rate sits at 19.0-19.8% across every threshold we sweep. 2.3.",,
S04.012,sentence,,,Anomaly Detectors and Control Charts,body,Anomaly Detectors and Control Charts,Uncertainty Quantification and Conformal Prediction,,
S05.001,sentence,,,Uncertainty Quantification and Conformal Prediction,body,Uncertainty Quantification and Conformal Prediction,"Conformal prediction (Vovk, Gammerman, & Shafer, 2005; Laxhammar & Falkman, 2014) bounds the false-alarm rate by a target α under exchangeability, converting a raw score into an alarm with an interpretable, finite-sample guarantee.",C032,
